Identifier,"Source String",Translation,Context,Labels,"Max. Length"
SET_BRG_RTD,"Report type",レポートの種類,"SET_BRG_RTD
SettingsUI.cs BuildRecordGroupUI reportTypeDropdown",,
SET_BRG_RPB,"Reset path to default",パスをリセット,"SET_BRG_RPB
SettingsUI.cs BuildRecordGroupUI resetPathBtn",,
SET_BUG_DOI,"Days of inactivity to retire author",作家を引退と判断する活動休止の日数,"SET_BUG_DOI
SettingsUI.cs BuildUpdaterGroupUI daysOfInactivity",,
SET_BUG_MSPMP,"Estimated milliseconds per mod page",MODページ毎の推定ミリ秒,"SET_BUG_MSPMP
SettingsUI.cs BuildUpdaterGroupUI msPerModPage",,
SET_BUG_OOTA,"Run Road Asset Crawler (AN dependent)","道路アセットの検証を実行 (ANとの依存関係)","SET_BUG_OOTA
SettingsUI.cs BuildUpdaterGroupUI OnOneTimeAction",,
SET_BUG_OSU,"Run Updater",アップデータを実行,"SET_BUG_OSU
SettingsUI.cs BuildUpdaterGroupUI OnStartUpdater",,
SET_BUG_OSWC,"Run Web Crawler",Webクローラーを実行,"SET_BUG_OSWC
SettingsUI.cs BuildUpdaterGroupUI OnStartWebCrawler",,
SET_BUG_OSWCQ,"Run Web Crawler (quick)","Webクローラーを実行 (クイック)","SET_BUG_OSWCQ
SettingsUI.cs BuildUpdaterGroupUI OnStartWebCrawlerquick",,
SET_BUG_SMFP,"Steam max failed pages",Steamで失敗したページの最大数,"SET_BUG_SMFP
SettingsUI.cs BuildUpdaterGroupUI steamMaxFailedPages",,
SET_BUG_SMLP,"Steam max listing pages",Steamでリストするページの最大数,"SET_BUG_SMLP
SettingsUI.cs BuildUpdaterGroupUI steamMaxListingPages",,
SET_BUG_UG,Updater,アップデータ,"SET_BUG_UG
SettingsUI.cs BuildUpdaterGroupUI updaterGroup",,
SET_BUG_WFR,"Weeks for soon retired",数週間後に引退する予定,"SET_BUG_WFR
SettingsUI.cs BuildUpdaterGroupUI weeksForRetired",,
SET_DO_NEV,"Never (on-demand only) - not recommended!","しない (オンデマンドのみ) - 推奨しません！","SET_DO_NEV
SettingsUI.cs DownloadOptions Never",,
SET_DO_OAW,"Once a week",1週間に1回,"SET_DO_OAW
SettingsUI.cs DownloadOptions Once a week",,
SET_RT_HTM,HTML,HTML,"SET_RT_HTM
SettingsUI.cs ReportTypes HTML",,
SET_RT_HAT,"HTML and text",HTMLとテキスト,"SET_RT_HAT
SettingsUI.cs ReportTypes HTML and Text",,
SET_RT_TXT,Text,テキスト,"SET_RT_TXT
SettingsUI.cs ReportTypes Text",,
HRT_LIL_MAI,"Major Issues",メジャーな問題点,"HRT_LIL_MAI
HtmlReportTemplate.tt LI_Link majorIssues",,
HRT_S_CRC,"{name}, created on {date+time}","{name} 氏が、 {date+time} に作成","HRT_S_CRC
HtmlReportTemplate.tt section CompatibilityReportCreated",,
REPORT_NOTE_1,"A black bar might appear above the bottom toolbar.",下部のツールバーの上側に、「黒いバーが表示」される場合があります。,REPORT_NOTE_1,,
REPORT_NOTE_2,"A red colored weight doesn't necessarily mean that the asset is bad. Just that it's very detailed and might impact performance more.",赤色のウェイト表示は、「必ずしもそのアセットが悪い/問題がある」という意味ではありません。ただし、非常に詳細なディテールの場合は、「パフォーマンスに影響を与える」可能性があります。,REPORT_NOTE_2,,
REPORT_NOTE_3,"A version 3.0 beta has been released on GitHub but was never released on the Steam Workshop. The author wrote he’ll not update the mod any more as he blame Paradox for their DLC politics.",バージョン3.0のベータ版がGitHubで公開されましたが、「Steamのワークショップでは公開」されませんでした。MOD作者はParadox社のDLC商法を非難し、これ以上のMODを更新しないと記述しています。,REPORT_NOTE_3,,
REPORT_NOTE_4,"ABLC has the functionality to prevent abandonment, and much more.",ABLCには「放棄の防止」機能など、より高機能になっています。,REPORT_NOTE_4,,
REPORT_NOTE_5,"Accelarated night/weekend cycles from Real Time might give issues with district services.","Real Timeで夜間や週末のサイクルを加速させると、「地区サービスに問題が発生」する可能性があります。",REPORT_NOTE_5,,
REPORT_NOTE_6,"Additive Shader is not compatible with the variable sunrise/sunset times from Real Time. Use the Additive Shader test version instead.","Additive ShaderはReal Timeで変更された、「日の出/日の入りの時間と互換性」がありません。代わりにAdditive Shaderのテスト版を使用して下さい。",REPORT_NOTE_6,,
REPORT_NOTE_7,"Additive Shader props converted to PO don't show up after reloading a save.","PropをPOオブジェクトに変換してAdditive Shaderの設定がある場合は、「セーブをリロードするとシェーダー」が表示されません。",REPORT_NOTE_7,,
REPORT_NOTE_8,"Adjustable Business Consumption might be incompatible with the ""Farms produce crops slower and cost less"" option of Rebalanced Industries.","Adjustable Business Consumptionは、Rebalanced Industriesにある「Farms produce crops slower and cost less」オプションと互換性が無い可能性があります。",REPORT_NOTE_8,,
REPORT_NOTE_9,"Advanced Building Level Control has all functionality of Historical Districts, and more.","Advanced Building Level Controlは、「Historical Districts」の全機能とそれ以上の機能があります。",REPORT_NOTE_9,,
REPORT_NOTE_10,"All jobs from non-RICO buildings, including all Industries DLC buildings, are included in the service (SRV) numbers.","全てのDLC Industriesの建物を含む非RICOの建物以外で、全ての労働者はサービス (SRV) 番号に含まれます。",REPORT_NOTE_10,,
REPORT_NOTE_11,"All kinds of issues can happen, including the disappearing of Ploppable Asphalt objects.","Ploppable Asphaltはオブジェクトが消えるなど、「様々な問題が起こる」可能性があります。",REPORT_NOTE_11,,
REPORT_NOTE_12,"All players must have the exact same DLCs (none are supported) and mods. CSM is incompatible with most mods, too many to mention here. A (very short) list of supported mods: https://citiesskylinesmultiplayer.com/#/supported-mods","全てのプレイヤーは、「全く同じDLC (未サポート) とMODの構成」を持つ必要があります。CSMは大半のMODと互換性がなく、この欄内で全てを記述出来ません。
対応MODのリスト(ごく一部): https://citiesskylinesmultiplayer.com/#/supported-mods",REPORT_NOTE_12,,
REPORT_NOTE_13,"All recoloring will be lost when you (un)subscribe to anything while the game is running.",ゲーム実行中に何かサブスクの操作をすると、「全ての着色情報が喪失」します。,REPORT_NOTE_13,,
REPORT_NOTE_14,"Alternatives for this can be found here: https://steamcommunity.com/sharedfiles/filedetails/?id=2415082532","このMODの代替案や移行先は、コレクション内の説明を確認して下さい。
Road & Highway Extensionsのコレクション: https://steamcommunity.com/sharedfiles/filedetails/?id=2415082532",REPORT_NOTE_14,,
REPORT_NOTE_15,"Always run the Steam client before you run the game. On Linux and MacOS some user action is required, see the installation guide: https://steamcommunity.com/workshop/filedetails/discussion/2105755179/3120423877860413758/","ゲームを起動する前に、「必ずSteamクライアントを実行」して下さい。LinuxとMacOSのユーザーは、「ユーザーによる操作が必要」なので、下記のインストールガイドを確認して下さい。
Installation Guides for Patch Loader dependencyのリンク: https://steamcommunity.com/workshop/filedetails/discussion/2105755179/3120423877860413758/",REPORT_NOTE_15,,
REPORT_NOTE_16,"As long as you don't use TM:PE to limit the speed for rail tracks, these mods should be compatible.",TM:PEで線路や軌道の速度制限をしない限り、これらのMODは互換性があるはずです。,REPORT_NOTE_16,,
REPORT_NOTE_17,"Autobudgetting police, healthcare and fire stations could cause land value to drop, because lower budget means lower cover area.",警察/医療/消防署を自動で予算化すると、「予算が少ない場合は影響範囲が減るので地価が下がる」可能性があります。,REPORT_NOTE_17,,
REPORT_NOTE_18,"Backup your save before using this tool!",このツールを使用する前に、「セーブを必ずバックアップ」して下さい！,REPORT_NOTE_18,,
REPORT_NOTE_19,"Better Highway Icons triggers an error popup from Building Themes ('System.Reflection.MonoMethod.Invoke'). Both mods still appear to work after.","Better Highway IconsはBuilding Themesから、「System.Reflection.MonoMethod.Invokeのエラー発生」の原因になります。ただし、エラーが出ても両方のMODでは、一応は動作しているようです。",REPORT_NOTE_19,,
REPORT_NOTE_20,"BOB has the functionality of Prop it Up, and more.","BOBは、「Prop it Up」の全機能とそれ以上の機能があります。",REPORT_NOTE_20,,
REPORT_NOTE_21,"Both mods have options to hide panels on main menu screen. Only use one mod to hide them, or you might run into issues.",両方のMODに、「メインメニュー画面のパネルを非表示」にするオプションがあります。片方のMODで設定しないと、問題が発生する可能性があります。,REPORT_NOTE_21,,
REPORT_NOTE_22,"Both mods replace the 'vanilla matchmaker', making them incompatible.","どのMODも「vanilla matchmaker」を置き換えるもので、互換性はありません。",REPORT_NOTE_22,,
REPORT_NOTE_23,"Both mods touch the same game functionality and probably conflict.",どのMODも「同じゲーム機能に介入」するので、恐らく競合する可能性が高いです。,REPORT_NOTE_23,,
REPORT_NOTE_24,"Both mods use the Tab key. Use another first person mod, or change the key for First-person Auto-walking.","どのMODも、「Tabキーを使用」するので競合します。別の一人称視点MODを使うか、「First-person Auto-walkingのキー設定」を変更して下さい。",REPORT_NOTE_24,,
REPORT_NOTE_25,"Causes trees to float. You could switch to Tree Anarchy, which has the functionality of both these mods.","マップ上にある、「樹木が空中に浮く」問題があります。両方のMOD機能を持つ、「Tree Anarchy」に切り替えることを推奨します。",REPORT_NOTE_25,,
REPORT_NOTE_26,"CAUTION: DO NOT SUPPRESS ERRORS in the mod options or in the popups from this mod, as it makes troubleshooting mod/asset issues near impossible. Hiding errors does not make them go away, and will make your game less reliable!","注意！: MODオプションやポップアップ内の設定でエラーを抑制すると、「MOD/アセットのトラブルシューティングが出来なく」なります。エラーを隠すだけで何も解決されずに、ゲームの信頼性を低下/問題の検証を困難にさせます。",REPORT_NOTE_26,,
REPORT_NOTE_27,"CAUTION: If you use this and save, the game save is broken.","注意！: これを使用して保存すると、「セーブデータが破損」します。",REPORT_NOTE_27,,
REPORT_NOTE_28,"CAUTION: This only hides the problem icons. The problems still exist! This can quickly lead to mass abandonment if you forget to check for problems.","注意！: これは問題の「通知アイコンを隠す」だけで、問題は残ったままです。問題の確認を忘れると、「いずれ大量放棄に繋がる」可能性があります。",REPORT_NOTE_28,,
REPORT_NOTE_29,"Change the construction speed to 100% in Real Time's settings to avoid buildings disappearing.","建物の消失を防ぐため、「Real Timeの設定で建設速度を100%に変更」して下さい。",REPORT_NOTE_29,,
REPORT_NOTE_30,"Changing the date may cause a gap in the graph or cause part of the graph to be overwritten.",日付を変更すると、「グラフにずれ/一部が上書き」される可能性があります。,REPORT_NOTE_30,,
REPORT_NOTE_31,"Clicking in the bottom bar for UEC functionality does not work.",下部のバーをクリックしても、「UEC機能は動作」しません。,REPORT_NOTE_31,,
REPORT_NOTE_32,"Clouds &amp; Fog Toggler overrules the fog options of Hide it, Bobby.","Clouds &amp; Fog Togglerは、Hide it, Bobbyにある「フォグのオプションを上書き」します。",REPORT_NOTE_32,,
REPORT_NOTE_33,"Clouds &amp; Fog Toggler overrules the fog options of Hide It.","Clouds &amp; Fog Togglerは、Hide Itにある「フォグのオプションを上書き」します。",REPORT_NOTE_33,,
REPORT_NOTE_34,"Coloring the road while on a custom map theme, might give intersections a wrong color. In the editors this causes an unresponsive area above the menu.","カスタムしたマップテーマで道路を着色した場合は、「交差点の色がおかしくなる」可能性があります。 エディタ内では、「メニューの上側で反応しないエリア」が発生します。",REPORT_NOTE_34,,
REPORT_NOTE_35,"Compatibility is uncertain, but the increased limit from More Vehicles is probably not used by PXPVehicleInfo, leading to incorrect numbers when going beyond the original vehicle limit.","互換性は不明ですがMore Vehiclesから増加した制限数は、恐らく「PXPVehicleInfoは参照」することが出来ません。デフォルトの車両制限を超えた場合は、不正確な数値が表示されます。",REPORT_NOTE_35,,
REPORT_NOTE_36,"Consider replacing the old asset(s) that need this by newer ones and then unsubscribe this mod.",これを必要とする古いアセットから、「新しいアセットに置き換えてサブスクの解除」を検討して下さい。,REPORT_NOTE_36,,
REPORT_NOTE_37,"Copyright by OpenMSX Authors, licensed under GPL v2.","著作権はOpenMSX作者にあり、「GPL v2の下でライセンス」されています。",REPORT_NOTE_37,,
